Title,Music_Composer,Genre
Saptaswaralu,Ilaiyaraaja,Drama
Sattekalapu Satteya,Ilaiyaraaja,"Romance
"
Shri Rama Katha,Ilaiyaraaja,"Romance
"
Sipayi Chinnayya,Ilaiyaraaja,"Romance
"
Takkaridonga Chakkanichukka,Ilaiyaraaja,"Romance
"
Ukkupidugu,Ilaiyaraaja,"Romance
"
Varakatnam,Ilaiyaraaja,"Romance
"
Vichitra Kutumbam,Ilaiyaraaja,"Romance
"
Akhandudu,Ilaiyaraaja,"Romance
"
Akka Chellelu,Ilaiyaraaja,"Romance
"
Ali Baba 40 Dongalu,Ilaiyaraaja,"Romance
"
Amma Kosam,Ilaiyaraaja,"Romance
"
Balaraju Katha,Ilaiyaraaja,"Romance
"
Chitti Chellelu,Ilaiyaraaja,"Romance
"
Desamante Manushuloyi,Ilaiyaraaja,"Romance
"
Dharma Daata,Ilaiyaraaja,"Romance
"
Drohi,Ilaiyaraaja,"Romance
"
Jai Jawan,Ilaiyaraaja,"Romance
"
Kathanayika Molla,Ilaiyaraaja,"Romance
"
Kodalu Diddina Kapuram,Ilaiyaraaja,"Romance
"
Lakshmi Kataksham,Ilaiyaraaja,"Romance
"
Maa Manchi Akkayya,Ilaiyaraaja,"Romance
"
Maa Nanna Nirdhoshi,Ilaiyaraaja,"Romance
"
Malli Pelli,Ilaiyaraaja,"Romance
"
Marina Manishi,Ilaiyaraaja,"Romance
"
Maro Prapancham,Ilaiyaraaja,"Romance
"
Mayani Mamata,Ilaiyaraaja,"Romance
"
Merupu Veerudu,Ilaiyaraaja,"Romance
"
Oke Kutumbham,Ilaiyaraaja,"Romance
"
Pelli Koothuru,Ilaiyaraaja,"Romance
"
Pelli Sambandham,Ilaiyaraaja,"Romance
"
Pettandarulu,Ilaiyaraaja,"Romance
"
Sambarala Rambabu,Ilaiyaraaja,"Romance
"
Thaali Bottu,Ilaiyaraaja,"Romance
"
Thalla? Pellama?,Ilaiyaraaja,"Romance
"
Vidhi Vilasam,Ilaiyaraaja,"Romance
"
Vijayam Manade,Ilaiyaraaja,"Romance
"
Adrusta Jathakudu,Ilaiyaraaja,"Romance
"
Amaayakuraalu,Ilaiyaraaja,"Romance
"
Anuradha,Ilaiyaraaja,"Romance
"
Bangaru Kutumbam,Ilaiyaraaja,"Romance
"
Bangaru Talli,Ilaiyaraaja,"Romance
"
Bhagyavantudu,Ilaiyaraaja,"Romance
"
Bhale Papa,Ilaiyaraaja,"Romance
"
Bomma Borusa,Ilaiyaraaja,Mythology
Chelleli Kapuram,Ilaiyaraaja,"Romance
"
Chinnanati Snehitulu,Ilaiyaraaja,"Romance
"
Dasara Bullodu,Ilaiyaraaja,"Romance
"
Iddaru Ammayilu,Ilaiyaraaja,"Romance
"
Jeevitha Chakram,Ilaiyaraaja,Musical
Kalyana Mandapam,Ilaiyaraaja,"Romance
"
Manasu Mangalyam,Ilaiyaraaja,"Romance
"
Mattilo Manikyam,Ilaiyaraaja,"Romance
"
Mosagallaku Mosagadu,Ilaiyaraaja,Comedy
Naa Thammudu ,Ilaiyaraaja,"Romance
"
Nenu Manishine ,Ilaiyaraaja,"Romance
"
Nindu Dampathulu,Ilaiyaraaja,"Romance
"
Pagabattina Paduchu,Ilaiyaraaja,"Romance
"
Pavitra Bandham,Ilaiyaraaja,Social
Pavitra Hrudayalu,Ilaiyaraaja,"Romance
"
Pethamdaarlu ,Ilaiyaraaja,"Romance
"
Prema Nagar,Ilaiyaraaja,"Romance
"
Raitu Bidda,Ilaiyaraaja,"Romance
"
Raitu Kutumbam ,Ilaiyaraaja,"Romance
"
Rajakota Rahasyam,Ilaiyaraaja,Folklore
Ramalayam,Ilaiyaraaja,"Romance
"
Rangeli Raja,Ilaiyaraaja,"Romance
"
Sampoorna Ramayanam,Ilaiyaraaja,Mythology
Sati Ansuya ,Ilaiyaraaja,Mythology
Sri Krishna Satya,Ilaiyaraaja,Mythology
Sri Krishna Vijayamu,Ilaiyaraaja,Mythology
Srimanthudu,Ilaiyaraaja,"Romance
"
Sisindri Chittibabu,Ilaiyaraaja,"Romance
"
Suputhrudu,Ilaiyaraaja,Musical
Tahsildar Gari Ammayi,Ilaiyaraaja,"Romance
"
Varalakshmi Vratam,Ilaiyaraaja,"Romance
"
Vichithra Kutumbam,Ilaiyaraaja,"Romance
"
Vikramarka Vijayam,Ilaiyaraaja,"Romance
"
Akka Thamudu,Ilaiyaraaja,"Romance
"
Antha Mana Manchike,Ilaiyaraaja,"Romance
"
Badi Panthulu,Ilaiyaraaja,Social
Bala Bharatam,Ilaiyaraaja,"Romance
"
Bala Mitrula Katha,Ilaiyaraaja,"Romance
"
Bandipotu,Ilaiyaraaja,Folklore
Beedala Patlu,Ilaiyaraaja,"Romance
"
Bhale Mosagadu,Ilaiyaraaja,Action
Bharya Biddalu,Ilaiyaraaja,Musical
Datta Putrudu,Ilaiyaraaja,"Romance
"
Guduputani,Ilaiyaraaja,"Romance
"
Hantakulu Devantakulu,Ilaiyaraaja,Action
Illu Illalu,Ilaiyaraaja,Social
Inspector Bharya,Ilaiyaraaja,"Romance
"
Kalam Marindi,Ilaiyaraaja,"Romance
"
Koduku Kodalu,Ilaiyaraaja,"Romance
"
Kula Gowravam,Ilaiyaraaja,"Romance
"
Manavudu Danavudu,Ilaiyaraaja,"Romance
"
Manchi Rojulu Vachchaayi,Ilaiyaraaja,Social
Mathru Murthy?,Ilaiyaraaja,"Romance
"
Md Bin Tuglak,Ilaiyaraaja,Mythology
Neeti-Nijayiti,Ilaiyaraaja,"Romance
"
Pandanti Kapuram,Ilaiyaraaja,"Romance
"
Papam Pasivadu,Ilaiyaraaja,"Romance
"
Raitu Kutumbam,Ilaiyaraaja,"Romance
"
Raj Mahal,Ilaiyaraaja,Action
Sabhash Baby?,Ilaiyaraaja,"Romance
"
Sabhash Vadina,Ilaiyaraaja,"Romance
"
Sri Krishnanjaneya Yuddham,Ilaiyaraaja,"Romance
"
Vichitra Bandham,Ilaiyaraaja,"Romance
"
Vinta Dampatulu,Ilaiyaraaja,Social
Vooriki Vupakari,Ilaiyaraaja,"Romance
"
Abhimanavantulu,Ilaiyaraaja,"Romance
"
Andala Ramudu,Ilaiyaraaja,"Romance
"
Bangaru Babu,Ilaiyaraaja,"Romance
"
Bhakta Tukaram,Ilaiyaraaja,"Romance
"
Dabbuki Lokam Dasoham,Ilaiyaraaja,"Romance
"
Desoddharakulu,Ilaiyaraaja,"Romance
"
Devudu Chesina Manushulu,Ilaiyaraaja,"Romance
"
Dhanama? Daivama?,Ilaiyaraaja,"Romance
"
Doctor Babu,Ilaiyaraaja,"Romance
"
Errakota Veerudu,Ilaiyaraaja,Fantasy
Gandhi Puttina Desam,Ilaiyaraaja,Social
Ganga Manga,Ilaiyaraaja,Mythology
Geeta,Ilaiyaraaja,"Romance
"
Geetaanjali,Ilaiyaraaja,"Romance
"
Inti Dongalu,Ilaiyaraaja,"Romance
"
Jeevana Tarangalu,Ilaiyaraaja,"Romance
"
Kanna Koduku,Ilaiyaraaja,Drama
Lokam Marali,Ilaiyaraaja,"Romance
"
Mamatha,Ilaiyaraaja,"Romance
"
Manchi Vallaki Manchivadu,Ilaiyaraaja,"Romance
"
Manchivadu,Ilaiyaraaja,"Romance
"
Marapurani Manishi,Ilaiyaraaja,"Romance
"
Mayadari Malligadu,Ilaiyaraaja,Social
Meghamala,Ilaiyaraaja,"Romance
"
Memu Manushulame,Ilaiyaraaja,"Romance
"
Neramu Siksha,Ilaiyaraaja,"Romance
"
Paropakari,Ilaiyaraaja,Social
Palletoori Bava,Ilaiyaraaja,"Romance
"
Pasi Hrudayalu,Ilaiyaraaja,"Romance
"
Poola Mala,Ilaiyaraaja,"Romance
"
Puttinillu Mettinillu,Ilaiyaraaja,"Romance
"
Samsaram Sagaram,Ilaiyaraaja,"Romance
"
Sarada,Ilaiyaraaja,"Romance
"
Srivaru Maavaru,Ilaiyaraaja,Family
Snehabandam,Ilaiyaraaja,"Romance
"
Sthri Chandra Kala,Ilaiyaraaja,"Romance
"
Tallikodukulu,Ilaiyaraaja,"Romance
"
Tata Manavadu,Ilaiyaraaja,"Romance
"
Vaade Veedu,Ilaiyaraaja,"Romance
"
Visali,Ilaiyaraaja,"Romance
"
Yesu Prabhu,Ilaiyaraaja,"Romance
"
Akka Thamudu,Ilaiyaraaja,"Romance
"
Antha Mana Manchike,Ilaiyaraaja,"Romance
"
Badi Panthulu,Ilaiyaraaja,Social
Bala Bharatam,Ilaiyaraaja,"Romance
"
Bala Mitrula Katha,Ilaiyaraaja,"Romance
"
Bandipotu,Ilaiyaraaja,Folklore
Beedala Patlu,Ilaiyaraaja,"Romance
"
Bhale Mosagadu,Ilaiyaraaja,Action
Bharya Biddalu,Ilaiyaraaja,Musical
Datta Putrudu,Ilaiyaraaja,"Romance
"
Guduputani,Ilaiyaraaja,"Romance
"
Hantakulu Devantakulu,Ilaiyaraaja,Action
Illu Illalu,Ilaiyaraaja,Social
Inspector Bharya,Ilaiyaraaja,"Romance
"
Kalam Marindi,Ilaiyaraaja,"Romance
"
Koduku Kodalu,Ilaiyaraaja,"Romance
"
Kula Gowravam,Ilaiyaraaja,"Romance
"
Manavudu Danavudu,Ilaiyaraaja,"Romance
"
Manchi Rojulu Vachchaayi,Ilaiyaraaja,Social
Mathru Murthy?,Ilaiyaraaja,"Romance
"
Md Bin Tuglak,Ilaiyaraaja,Mythology
Neeti-Nijayiti,Ilaiyaraaja,"Romance
"
Pandanti Kapuram,Ilaiyaraaja,"Romance
"
Papam Pasivadu,Ilaiyaraaja,"Romance
"
Raitu Kutumbam,Ilaiyaraaja,"Romance
"
Raj Mahal,Ilaiyaraaja,Action
Sabhash Baby?,Ilaiyaraaja,"Romance
"
Sabhash Vadina,Ilaiyaraaja,"Romance
"
Sri Krishnanjaneya Yuddham,Ilaiyaraaja,"Romance
"
Vichitra Bandham,Ilaiyaraaja,"Romance
"
Vinta Dampatulu,Ilaiyaraaja,Social
Vooriki Vupakari,Ilaiyaraaja,"Romance
"
Aadhani Adrustam,Ilaiyaraaja,"Romance
"
Abhimanavathi,Ilaiyaraaja,Drama
Ammayila Sapatham,Ilaiyaraaja,Comedy
Ammayilu Jagratha,Ilaiyaraaja,"Romance
"
Andaru Manchivare,Ilaiyaraaja,Drama
Annadammula Anubandham,Ilaiyaraaja,Action
Annadammula Katha,Ilaiyaraaja,Comedy
Anuragalu,Ilaiyaraaja,"Romance
"
Babu,Ilaiyaraaja,Drama
Balipeetam,Ilaiyaraaja,Drama
Bhagasthulu,Ilaiyaraaja,Family
Bharatamlo Oka Ammayi,Ilaiyaraaja,"Romance
"
Bharathi,Ilaiyaraaja,Drama
Bullemma Sapatham,Ilaiyaraaja,"Romance
"
Chaduvu Samskaram,Ilaiyaraaja,Drama
Challani Thalli,Ilaiyaraaja,Drama
Cheekati Velugulu,Ilaiyaraaja,Drama
Chinninati Kalalu,Ilaiyaraaja,Drama
Chittamma Chilakamma,Ilaiyaraaja,"Romance
"
Cinema Vaibhavam,Ilaiyaraaja,"Romance
"
Devude Digivaste,Ilaiyaraaja,Fantasy
Devudu Chesina Pelli,Ilaiyaraaja,"Romance
"
Devudulanti Manishi,Ilaiyaraaja,"Romance
"
Eduruleni Manishi,Ilaiyaraaja,Drama
Ee Kalam Dampathulu,Ilaiyaraaja,"Romance
"
Gajula Kishtayya,Ilaiyaraaja,Drama
Gunavanthudu,Ilaiyaraaja,"Romance
"
Jebu Donga,Ilaiyaraaja,Drama
Jeevana Jyothi,Ilaiyaraaja,Drama
Kathanayakuni Katha,Ilaiyaraaja,Drama
Kothakapuram,Ilaiyaraaja,"Romance
"
Lakshmana Rekha,Ilaiyaraaja,"Romance
"
Maa Inti Devudu,Ilaiyaraaja,Mythology
Maa Voori Ganga,Ilaiyaraaja,Drama
Mallela Manasulu,Ilaiyaraaja,Family
Maya Maschindra,Ilaiyaraaja,Mythology
Moguda? Pellama?,Ilaiyaraaja,Drama
Mutyala Muggu,Ilaiyaraaja,Drama
Naaku Swatantram Vachindi,Ilaiyaraaja,Drama
Pandati Samsaram,Ilaiyaraaja,Family
Parivartana,Ilaiyaraaja,"Romance
"
Pichodi Pelli,Ilaiyaraaja,Comedy
Pooja,Ilaiyaraaja,"Romance
"
Puttinti Gowravam,Ilaiyaraaja,Drama
Raktha Sambandham,Ilaiyaraaja,Drama
Ramayya Thandri,Ilaiyaraaja,Family
Ramuni Minchina Ramudu,Ilaiyaraaja,Drama
Samsaram,Ilaiyaraaja,Drama
Santhanam Soubhagyam,Ilaiyaraaja,"Romance
"
Soubhagyavathi,Ilaiyaraaja,"Romance
"
Sri Chamundeswari Mahima,Ilaiyaraaja,Mythology
Sri Ramanjaneya Yuddham,Ilaiyaraaja,Mythology
Swargam Narakam,Ilaiyaraaja,"Romance
"
Teerpu,Ilaiyaraaja,"Romance
"
Thota Ramudu,Ilaiyaraaja,Drama
Vaikuntapali,Ilaiyaraaja,"Romance
"
Vayasochina Pilla,Ilaiyaraaja,"Romance
"
Yashoda Krishna,Ilaiyaraaja,Mythology
Zamindarugari Ammayi,Ilaiyaraaja,Social
America Ammayi,Ilaiyaraaja,"Romance
"
Aradhana,Ilaiyaraaja,"Romance
"
Anthuleni Katha,Ilaiyaraaja,Drama
Bangaru Manishi,Ilaiyaraaja,"Romance
"
Bhakta Kannappa,Ilaiyaraaja,"Romance
"
Iddaru Iddare,Ilaiyaraaja,Drama
Jyothi,Ilaiyaraaja,"Romance
"
Maa Daivam,Ilaiyaraaja,"Romance
"
Mahakavi Kshetrayya,Ilaiyaraaja,Biography
Magaadu,Ilaiyaraaja,"Romance
"
Mahatmudu,Ilaiyaraaja,"Romance
"
Manchiki Maro Peru,Ilaiyaraaja,"Romance
"
Manushulanta Okkate,Ilaiyaraaja,Action
Monagadu,Ilaiyaraaja,"Romance
"
Muthyala Pallaki,Ilaiyaraaja,Drama
Naa Pere Bhagavan,Ilaiyaraaja,"Romance
"
Neram Nadi Kadu Akalidi,Ilaiyaraaja,"Romance
"
Oorummadi Brathukulu,Ilaiyaraaja,"Romance
"
Pichi Maaraju,Ilaiyaraaja,"Romance
"
Pogarubothu,Ilaiyaraaja,Action
Prema Bandham,Ilaiyaraaja,"Romance
"
Raju Vedale,Ilaiyaraaja,"Romance
"
Secretary,Ilaiyaraaja,Drama
Siri Siri Muvva,Ilaiyaraaja,"Romance
"
Sita Kalyanam,Ilaiyaraaja,Drama
Soggadu,Ilaiyaraaja,Drama
Thoorpu Padamara,Ilaiyaraaja,"Romance
"
Vemulawada Bheemakavi,Ilaiyaraaja,"Romance
"
Vintha Illu Santha Gola,Ilaiyaraaja,Drama
Yavvanam Katesindi,Ilaiyaraaja,Drama
Aalu Magalu,Ilaiyaraaja,Drama
Aame Katha,Ilaiyaraaja,"Romance
"
Aatmiyudu,Ilaiyaraaja,"Romance
"
Adavi Ramudu,Ilaiyaraaja,Drama
Amara Deepam,Ilaiyaraaja,Drama
Bangaru Bommalu,Ilaiyaraaja,"Romance
"
Bhale Alludu,Ilaiyaraaja,Drama
Chakradhari,Ilaiyaraaja,"Romance
"
Chanakya Chandragupta,Ilaiyaraaja,Historical
Chilakamma Cheppindi,Ilaiyaraaja,"Romance
"
Chillarakottu Chittemma,Ilaiyaraaja,Drama
Daana Veera Soora Karna,Ilaiyaraaja,Mythology
Devathalara Deevinchandi,Ilaiyaraaja,Drama
Edureeta,Ilaiyaraaja,"Romance
"
Eetharam Manishi,Ilaiyaraaja,Drama
Gadusu Pillodu,Ilaiyaraaja,Action
Jeevana Teeralu,Ilaiyaraaja,"Romance
"
Jeevitha Nouka,Ilaiyaraaja,Drama
Kalpanaa,Ilaiyaraaja,Drama
Kanya Kumari,Ilaiyaraaja,Drama
Khaidi Kalidasu,Ilaiyaraaja,Action
Kurukshetram,Ilaiyaraaja,Mythology
Maa Iddari Katha,Ilaiyaraaja,Action
Panthulamma,Ilaiyaraaja,Drama
Premalekhalu,Ilaiyaraaja,Drama
Raja Ramesh,Ilaiyaraaja,"Romance
"
Seetha Rama Vanavasam,Ilaiyaraaja,Mythology
Sneham,Ilaiyaraaja,Drama
Tharam Marindi,Ilaiyaraaja,Drama
Tholireyi Gadichindi,Ilaiyaraaja,"Romance
"
Yamagola,Ilaiyaraaja,Fantasy
Agent Gopi,Ilaiyaraaja,Social
Angadi Bomma,Ilaiyaraaja,Drama
Annadammula Savaal,Ilaiyaraaja,Drama
Athani Kante Ghanudu,Ilaiyaraaja,"Romance
"
Bommarillu,Ilaiyaraaja,Drama
Chal Mohana Ranga,Ilaiyaraaja,Action
Chali Cheemalu,Ilaiyaraaja,"Romance
"
Cheppindi Chestha,Ilaiyaraaja,Drama
Chilipi Krishnudu,Ilaiyaraaja,"Romance
"
Chiranjeevi Rambabu,Ilaiyaraaja,Drama
Devadasu Malli Puttadu,Ilaiyaraaja,"Romance
"
Dongala Dopidi,Ilaiyaraaja,Comedy
Dongala Veta,Ilaiyaraaja,Action
Doo Doo Basavanna,Ilaiyaraaja,Comedy
Enki Naidu Bava,Ilaiyaraaja,Drama
Gamattu Gudachari,Ilaiyaraaja,Comedy
Gorantha Deepam,Ilaiyaraaja,"Romance
"
Indradhanassu,Ilaiyaraaja,"Romance
"
Jaganmohini,Ilaiyaraaja,Fantasy
Kalanthakulu,Ilaiyaraaja,Comedy
Karunamayudu,Ilaiyaraaja,"Romance
"
Katakataala Rudraiah,Ilaiyaraaja,Action
KD No:1,Ilaiyaraaja,Action
Khaidi No. 77,Ilaiyaraaja,Action
Kondura,Ilaiyaraaja,"Romance
"
Kumara Raja,Ilaiyaraaja,Drama
Lawyer Viswanath,Ilaiyaraaja,"Romance
"
Mallepoovu,Ilaiyaraaja,"Romance
"
Mana Voori Pandavulu,Ilaiyaraaja,Action
Manchi Babai,Ilaiyaraaja,Drama
Maro Charitra,Ilaiyaraaja,"Romance
"
Melu Kolupu,Ilaiyaraaja,Drama
Muggure Mugguru,Ilaiyaraaja,Drama
Naalaaga Endaro,Ilaiyaraaja,Drama
Nayudu Bava,Ilaiyaraaja,"Romance
"
Nindu Manishi,Ilaiyaraaja,Drama
Oka Oori Katha,Ilaiyaraaja,Drama
Padaharella Vayasu,Ilaiyaraaja,"Romance
"
Patnavasam,Ilaiyaraaja,Drama
Pottelu Punnamma,Ilaiyaraaja,Drama
Pranam Khareedu,Ilaiyaraaja,Action
Prema Chesina Pelli,Ilaiyaraaja,"Romance
"
Radha Krishna,Ilaiyaraaja,"Romance
"
Rajaputra Rahasyam,Ilaiyaraaja,Fantasy
Rama Krishnulu,Ilaiyaraaja,Action
Ramachilaka,Ilaiyaraaja,"Romance
"
Rickshaw Raji,Ilaiyaraaja,Drama
Rowdy Rangamma,Ilaiyaraaja,Drama
Sahasavanthudu,Ilaiyaraaja,Action
Sati Savitri,Ilaiyaraaja,Mythology
Seetamalakshmi,Ilaiyaraaja,Drama
Simha Baludu,Ilaiyaraaja,Action
Simha Garjana,Ilaiyaraaja,Action
Sivaranjani,Ilaiyaraaja,Drama
Sommokadidi Sokokadidi,Ilaiyaraaja,"Romance
"
Sri Rama Pattabhishekam,Ilaiyaraaja,Mythology
Sri Rama Raksha,Ilaiyaraaja,Drama
Sri Renukadevi Mahatyam,Ilaiyaraaja,Devotional
Surya Chandrulu,Ilaiyaraaja,Drama
Vayasu Pilichindi,Ilaiyaraaja,"Romance
"
Vichitra Jeevitham,Ilaiyaraaja,"Romance
"
Yuga Purushudu,Ilaiyaraaja,Action
Akbar Salim Anarkali,Ilaiyaraaja,Mythology
Andadu Aagadu,Ilaiyaraaja,"Romance
"
Andamaina Anubhavam,Ilaiyaraaja,"Romance
"
Andaman Ammayi,Ilaiyaraaja,"Romance
"
Annai Oru Aalayam,Ilaiyaraaja,Adventure
Bangaru Chellelu,Ilaiyaraaja,"Romance
"
Burripalem Bullodu,Ilaiyaraaja,"Romance
"
Dharma Yuddham,Ilaiyaraaja,"Romance
"
Driver Ramudu,Ilaiyaraaja,"Romance
"
Gorintaku,Ilaiyaraaja,"Romance
"
Guppedu Manasu,Ilaiyaraaja,"Romance
"
Hema Hemeelu,Ilaiyaraaja,"Romance
"
I Love You,Ilaiyaraaja,"Romance
"
Iddaru Asadhyule,Ilaiyaraaja,"Romance
"
Idi Katha Kaadu,Ilaiyaraaja,"Romance
"
Judagadu,Ilaiyaraaja,"Romance
"
Kalyani,Ilaiyaraaja,"Romance
"
Kaliyuga Mahabharatam,Ilaiyaraaja,"Romance
"
Karthika Deepam,Ilaiyaraaja,"Romance
"
Korikale Gurralaite,Ilaiyaraaja,"Romance
"
Kothala Raayudu,Ilaiyaraaja,"Romance
"
Kotta Alludu,Ilaiyaraaja,"Romance
"
Kukka Katuku Cheppu Debba,Ilaiyaraaja,"Romance
"
Maavari Manchitanam,Ilaiyaraaja,"Romance
"
Mande Gundelu,Ilaiyaraaja,"Romance
"
Muddula Koduku,Ilaiyaraaja,"Romance
"
Naa Illu Naa Vallu,Ilaiyaraaja,"Romance
"
Nagna Sathyam,Ilaiyaraaja,"Romance
"
Needa,Ilaiyaraaja,"Romance
"
Nimajjanam,Ilaiyaraaja,"Romance
"
Nindu Noorellu,Ilaiyaraaja,"Romance
"
Pancha Bhoothalu,Ilaiyaraaja,"Romance
"
Punadhirallu,Ilaiyaraaja,"Romance
"
Rama Banam,Ilaiyaraaja,"Romance
"
Rangoon Rowdy,Ilaiyaraaja,"Romance
"
Ravanude Ramudayithe?,Ilaiyaraaja,"Romance
"
Shri Rama Bantu,Ilaiyaraaja,"Romance
"
Sri Madvirata Parvam,Ilaiyaraaja,"Romance
"
Sri Tirupati Venkateswara Kalyanam,Ilaiyaraaja,"Romance
"
Sri Vinayaka Vijayamu,Ilaiyaraaja,"Romance
"
Srungara Ramudu,Ilaiyaraaja,"Romance
"
Tayaramma Bangarayya,Ilaiyaraaja,"Romance
"
Tiger,Ilaiyaraaja,"Romance
"
Toorpu Velle Railu,Ilaiyaraaja,"Romance
"
Vetagaadu,Ilaiyaraaja,"Romance
"
Yugandhar,Ilaiyaraaja,"Romance
"
Aarani Mantalu,Ilaiyaraaja,"Romance
"
Aatagadu,Ilaiyaraaja,"Romance
"
Adadhee Gadapa Datithe,Ilaiyaraaja,"Romance
"
Adrushtavanthudu,Ilaiyaraaja,"Romance
"
Agni Samskaram,Ilaiyaraaja,"Romance
"
Alayam,Ilaiyaraaja,"Romance
"
Alludu Pattina Bharatam,Ilaiyaraaja,"Romance
"
Bebbuli,Ilaiyaraaja,"Romance
"
Bhale Krishnudu,Ilaiyaraaja,"Romance
"
Buchi Babu,Ilaiyaraaja,"Romance
"
Challenge Ramudu,Ilaiyaraaja,"Romance
"
Chandipriya,Ilaiyaraaja,"Romance
"
Chesina Baasalu,Ilaiyaraaja,"Romance
"
Chuttalunnaru Jagratha,Ilaiyaraaja,"Romance
"
Circus Ramudu,Ilaiyaraaja,"Romance
"
Dharma Chakram,Ilaiyaraaja,"Romance
"
Gaja Donga,Ilaiyaraaja,"Romance
"
Gandhara Golam,Ilaiyaraaja,"Romance
"
Gayyali Gangamma,Ilaiyaraaja,"Romance
"
Guru,Ilaiyaraaja,"Romance
"
Harischandrudu,Ilaiyaraaja,"Romance
"
Jathara,Ilaiyaraaja,"Romance
"
Kaali,Ilaiyaraaja,"Romance
"
Kaksha,Ilaiyaraaja,"Romance
"
Kaliyuga Ravanasurudu,Ilaiyaraaja,"Romance
"
Kiladi Krishnudu,Ilaiyaraaja,"Romance
"
Kodallu Vastunnaru Jagratha,Ilaiyaraaja,"Romance
"
Kotha Jeevithalu,Ilaiyaraaja,"Romance
"
Kottapeta Rowdy,Ilaiyaraaja,"Romance
"
Love in Singapore,Ilaiyaraaja,"Romance
"
Maa Bhoomi,Ilaiyaraaja,"Romance
"
Mahalakshmi,Ilaiyaraaja,"Romance
"
Manavude Mahaneeyudu,Ilaiyaraaja,"Romance
"
Mayadari Krishnudu,Ilaiyaraaja,"Romance
"
Mogudu Kaavali,Ilaiyaraaja,"Romance
"
Moodu Mulla Bandham,Ilaiyaraaja,"Romance
"
Mosagadu,Ilaiyaraaja,"Romance
"
Nakili Manishi,Ilaiyaraaja,"Romance
"
Nayakudu Vinayakudu,Ilaiyaraaja,"Romance
"
Pilla Zamindar,Ilaiyaraaja,"Romance
"
Prema Kanuka,Ilaiyaraaja,"Romance
"
Prema Tarangalu,Ilaiyaraaja,"Romance
"
Punnami Naagu,Ilaiyaraaja,"Romance
"
Rakta Bandham,Ilaiyaraaja,"Romance
"
Ram Robert Rahim,Ilaiyaraaja,"Romance
"
Ramudu Parasuramudu,Ilaiyaraaja,"Romance
"
Rowdy Ramudu Konte Krishnudu,Ilaiyaraaja,"Romance
"
Sankarabharanam,Ilaiyaraaja,"Romance
"
Sannayi Appanna,Ilaiyaraaja,"Romance
"
Sarada Ramudu,Ilaiyaraaja,"Romance
"
Sardar Papa Rayudu,Ilaiyaraaja,"Romance
"
Sirimalle Navvindi,Ilaiyaraaja,"Romance
"
Sita Ramulu,Ilaiyaraaja,"Romance
"
Srivari Muchatlu,Ilaiyaraaja,"Romance
"
Subhodayam,Ilaiyaraaja,"Romance
"
Superman,Ilaiyaraaja,"Romance
"
Thathayya Premaleelalu,Ilaiyaraaja,"Romance
"
Tholi Kodi Koosindi,Ilaiyaraaja,"Romance
"
Yamudu,Ilaiyaraaja,"Romance
"
Yedanthasthula Meda,Ilaiyaraaja,"Romance
"
Yuvatharam Kadilindi,Ilaiyaraaja,"Romance
"
Vamsa Vruksham,Ilaiyaraaja,"Romance
"
Aatmabalam,Ilaiyaraaja,"Romance
"
Adavi Donga,Chakravarthy,"Romance
"
Agni Parvatam,Chakravarthy,"Romance
"
Anveshana,Ilaiyaraaja,"Romance
"
Babayi-Abbayi,Ilaiyaraaja,"Romance
"
Bangaru Chilaka,S. P. Balasubrahmanyam,"Romance
"
Bhale Thammudu,Ilaiyaraaja,"Romance
"
Bharyabhartala Bandham,Chakravarthy,"Romance
"
Bullet,Ilaiyaraaja,"Romance
"
Chattamtho Poratam,Chakravarthy,"Romance
"
Chiranjeevi,Ilaiyaraaja,"Romance
"
Dampatyam,Ilaiyaraaja,"Romance
"
Darja Donga,Ilaiyaraaja,"Romance
"
Devalayam,Chakravarthy,"Romance
"
Donga,Chakravarthy,"Romance
"
Dongala Vetagadu,Ilaiyaraaja,"Romance
"
Illale Devata,Ilaiyaraaja,"Romance
"
Jwala,Ilaiyaraaja,"Romance
"
Kattula Kondaiah,Ilaiyaraaja,"Romance
"
Kongu Mudi,S. P. Balasubrahmanyam,"Romance
"
